id;crut;clin;cter;creg;ccendis;ccono;care;czon;npdv;crutdis;tdes;csisven;ncompvt;ctipmod;cdis;cuser;cidpr;fupgr;tupgr;created_at;updated_at;dia_visita;vendedor_id;empresa_id;lista_precio_id;dia
76;77;3;7;7;7;7;1;153;124;1;EL HUECO;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;-;#N/D;#N/D;#N/D;#N/D
149;155;3;7;7;7;7;1;153;114;1;TAGORE-WILLIAM;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;24;1;1;6
55971;215;3;7;7;7;7;1;153;21;1;MERCADOS WILLIAM;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Domingo;24;1;2;7
84;90;3;7;7;7;7;1;163;272;1;ARMANDO MAYORISTA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;25;1;2;1
1;8;3;7;7;7;7;1;173;172;1;CASABLANCA - 10 OCTU;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;26;1;1;1
5;18;3;7;7;7;7;1;173;138;1;ISRAEL - SR. DE LO M;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;26;1;1;2
6;48;3;7;7;7;7;1;173;139;1;CAJA DE AGUA - COMIS;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;26;1;1;4
22;57;3;7;7;7;7;1;173;104;1;LAS FLORES - CHACARI;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;26;1;1;5
52;68;3;7;7;7;7;1;173;163;1;CERRO CAMOTE-POLICLI;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;26;1;1;3
133;124;3;7;7;7;7;1;173;225;1;STA.CRUZ LA FLORIDAJ;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;26;1;1;6
30;40;3;7;7;7;7;1;183;136;1;ANEXO 8 FINAL;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;27;1;1;4
